"REF_DATE","GEO","DGUID","Measures","Sex","Age group","Statistics","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","Mean","Estimate","Millilitres per kilogram per minute","362","units","0","v108845644","1.1.1.1.1.1","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","Mean","Low 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v108845645","1.1.1.1.1.2","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","Mean","High 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v108845646","1.1.1.1.1.3","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","5th Percentile","Estimate","Millilitres per kilogram per minute","362","units","0","v108845647","1.1.1.1.2.1","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","5th Percentile","Low 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v108845648","1.1.1.1.2.2","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","5th Percentile","High 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v108845649","1.1.1.1.2.3","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","10th Percentile","Estimate","Millilitres per kilogram per minute","362","units","0","v108845650","1.1.1.1.3.1","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","10th Percentile","Low 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v108845651","1.1.1.1.3.2","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","10th Percentile","High 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v108845652","1.1.1.1.3.3","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","25th Percentile","Estimate","Millilitres per kilogram per minute","362","units","0","v108845653","1.1.1.1.4.1","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","25th Percentile","Low 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v108845654","1.1.1.1.4.2","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","25th Percentile","High 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v108845655","1.1.1.1.4.3","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","50th Percentile","Estimate","Millilitres per kilogram per minute","362","units","0","v108845656","1.1.1.1.5.1","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","50th Percentile","Low 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v108845657","1.1.1.1.5.2","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","50th Percentile","High 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v108845658","1.1.1.1.5.3","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","75th Percentile","Estimate","Millilitres per kilogram per minute","362","units","0","v108845659","1.1.1.1.6.1","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","75th Percentile","Low 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v108845660","1.1.1.1.6.2","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","75th Percentile","High 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v108845661","1.1.1.1.6.3","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","90th Percentile","Estimate","Millilitres per kilogram per minute","362","units","0","v108845662","1.1.1.1.7.1","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","90th Percentile","Low 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v108845663","1.1.1.1.7.2","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","90th Percentile","High 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v108845664","1.1.1.1.7.3","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","95th Percentile","Estimate","Millilitres per kilogram per minute","362","units","0","v108845665","1.1.1.1.8.1","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","95th Percentile","Low 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v108845666","1.1.1.1.8.2","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 79","95th Percentile","High 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v108845667","1.1.1.1.8.3","","..","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 69","Mean","Estimate","Millilitres per kilogram per minute","362","units","0","v88848176","1.1.1.2.1.1","39.6","","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 69","Mean","Low 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v88848177","1.1.1.2.1.2","39.1","","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 69","Mean","High 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v88848178","1.1.1.2.1.3","40.1","","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 69","5th Percentile","Estimate","Millilitres per kilogram per minute","362","units","0","v88848179","1.1.1.2.2.1","24.1","","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 69","5th Percentile","Low 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v88848180","1.1.1.2.2.2","23.1","","","","1"
"2009","Canada","2016A000011124","Predicted maximal oxygen consumption","Both sexes","Ages 6 to 69","5th Percentile","High 95% confidence interval, estimate","Millilitres per kilogram per minute","362","units","0","v88848181","1.1.1.2.2.3","25.0","","","","1"
